# pano poses v1.0: ID; filename; timestamp; pano_pos_x; pano_pos_y; pano_pos_z; pano_ori_w; pano_ori_x; pano_ori_y; pano_ori_z
0; 00000-pano.jpg; 1720146890.643562; -0.170359; 0.211241; 0.994719; -0.225418; 0.018563; -0.005101; 0.974072
1; 00001-pano.jpg; 1720146896.382293; -1.809367; -3.382375; 1.081522; 0.603147; 0.000070; -0.002364; -0.797627
2; 00002-pano.jpg; 1720146901.027151; -1.285550; -7.017509; 1.112133; 0.832029; -0.012115; -0.021113; -0.554197
3; 00003-pano.jpg; 1720146905.792747; -0.013038; -9.931332; 1.153145; 0.851327; 0.002072; -0.039032; -0.523177
4; 00004-pano.jpg; 1720146910.652858; 1.887131; -12.474923; 1.094154; 0.842346; -0.025684; -0.018254; -0.538015
5; 00005-pano.jpg; 1720146916.019644; 2.878649; -16.358402; 1.174737; 0.905635; 0.016863; 0.000437; -0.423722
6; 00006-pano.jpg; 1720146922.747451; 4.489451; -18.576965; 1.139623; 0.972100; -0.007375; -0.024819; 0.233134
7; 00007-pano.jpg; 1720146928.619200; 6.594901; -20.783308; 1.110448; 0.869791; -0.030417; -0.020401; -0.492060
8; 00008-pano.jpg; 1720146934.460057; 8.488631; -24.005125; 1.137882; 0.858893; -0.013672; -0.044921; -0.509999
9; 00009-pano.jpg; 1720146939.165850; 10.241266; -27.806178; 1.169308; 0.836383; -0.014309; -0.029248; -0.547178
10; 00010-pano.jpg; 1720146943.118789; 10.702086; -30.352289; 1.167315; 0.651999; 0.010797; -0.011387; -0.758058
11; 00011-pano.jpg; 1720146947.535627; 8.999268; -33.088644; 1.107052; -0.370655; 0.034646; 0.002905; 0.928120
12; 00012-pano.jpg; 1720146951.915433; 6.825820; -35.552514; 1.206534; -0.399490; 0.014648; 0.008606; 0.916580
13; 00013-pano.jpg; 1720146956.652297; 3.666761; -38.005811; 1.227550; -0.237909; 0.037409; 0.004667; 0.970556
14; 00014-pano.jpg; 1720146961.078132; 0.236925; -38.569997; 1.241024; -0.099364; 0.017466; -0.002272; 0.994895
15; 00015-pano.jpg; 1720146966.078935; 2.348467; -42.162864; 1.236436; 0.849754; -0.043686; -0.048704; -0.523104
16; 00016-pano.jpg; 1720146970.865830; 4.202162; -45.846826; 1.277686; 0.879304; -0.025766; -0.012050; -0.475411
17; 00017-pano.jpg; 1720146975.075713; 5.780436; -48.667694; 1.186354; 0.874452; -0.012770; -0.004942; -0.484919
